chulseok,grade,difficulty,load,achievement,proff,className,sem,classtype
4.8,3.1,2.4,2.4,2.6,Anat Zeelim-Hovav 교수님,경영정보시스템(영강) 유연학기제 시행 예정임_Flexible Semester(9/5~10/26),2017-2학기,전공필수
4.7,3.9,3.2,3.2,2.6,이동원 교수님,경영정보시스템(영강),2017-2학기,전공필수
3.6,3.4,3.4,3.3,2.4,문재윤 교수님,경영정보시스템(영강),2017-2학기,전공필수
5,4,2.9,3.2,3.4,이두희 교수님,광고론,2017-2학기,전공선택
4.7,3.5,2.8,3.1,3.8,최진희 교수님,광고론(영강),2017-2학기,전공선택
4.9,3.5,2.8,3.1,3.7,최진희 교수님,광고론(영강),2017-2학기,전공선택
3.8,4.1,2.9,3.4,3.5,Fang-Chi Lu 교수님,광고론(영강),2017-2학기,전공선택
4.6,3.4,3.4,3.9,3.9,윤성수 교수님,관리회계,2017-2학기,전공선택
4.9,3.8,3.5,3.4,4.1,유승원 교수님,관리회계(영강),2017-2학기,전공선택
4.8,3.4,3.8,4.1,4.2,한승수 교수님,관리회계(영강),2017-2학기,전공선택
1.4,4,3,2.2,4.3,박경삼 교수님,경영과학,2017-2학기,전공선택
4.6,3.9,3.6,3.7,3.7,김익수 교수님,기업경제학,2017-2학기,전공선택
4.6,3.2,3.2,2.6,2.9,편주현 교수님,기업경제학(영강) 유연학기제 시행 예정임_Flexible Semester(10/31~12/21),2017-2학기,전공선택
3.9,3.2,3.4,3.7,4.1,김재환 교수님,마케팅조사론(영강),2017-2학기,전공선택
4.6,3.3,3.1,3.4,4.1,유시진 교수님,마케팅조사론(영강),2017-2학기,전공선택
4.9,3.8,3.1,3,3.8,유원상 교수님,마케팅조사론(영강),2017-2학기,전공선택
1.3,4.5,3.8,3.7,3.5,정재웅 교수님,투자론 강사의 부득이한 사정으로 변경됨(최희정)->(정재웅),2017-2학기,전공선택
1.4,3,3.2,3.3,2.7,박경서 교수님,투자론(영강),2017-2학기,전공선택
1.5,3.5,4.5,4.5,4.4,손범진 교수님,투자론(영강),2017-2학기,전공선택
2.9,4.1,3.7,3.5,3.9,GUO Lin 교수님,투자론(영강),2017-2학기,전공선택
1.2,3.9,3.7,3.7,3.5,정재웅 교수님,투자론,2017-2학기,전공선택
3.6,3.3,3.3,2.8,2.8,정호원 교수님,빅데이터분석과해석의기초,2017-2학기,전공선택
4.7,3.9,3,2.7,3.2,남대일 교수님,벤처경영 타학과 신청가능 과목,2017-2학기,전공선택
3.6,3.4,2.7,2.6,3.3,김태규 교수님,조직행동론(영강),2017-2학기,전공필수
3.8,3.5,3.2,3.8,3.8,전재욱 교수님,조직행동론(영강),2017-2학기,전공필수
2.5,3.1,3.4,3.8,3.4,이동섭 교수님,조직행동론(영강),2017-2학기,전공필수
4.8,4,2.5,3.9,2.7,권성우 교수님,조직행동론(영강),2017-2학기,전공필수
4.8,3.1,2.8,3,3.1,오주연 교수님,조직행동론(영강),2017-2학기,전공필수
4.9,3.3,3.2,4.2,3.2,국화 교수님,조직행동론,2017-2학기,전공필수
5,3.8,3.7,4.3,4.5,이재혁 교수님,국제경영론,2017-2학기,전공필수
4.3,3.1,3.4,3.1,3.4,Martin Hemmert 교수님,국제경영론(영강),2017-2학기,전공필수
5,5,3,4,3,정창화 교수님,국제경영론(영강) 교환학생 전용분반(Exchange students only),2017-2학기,전공필수
5,4,2,2.2,2.8,조경아 교수님,국제경영론(영강),2017-2학기,전공필수
4.6,3.7,2.6,3.1,1.9,김순성 교수님,국제경영론(영강),2017-2학기,전공필수
4.9,4.4,2.6,3,3.1,김은미 교수님,국제경영론(영강),2017-2학기,전공필수
2.5,4.2,2.7,3.2,3.6,홍가혜 교수님,국제경영론 교수변경:조영삼교수->홍가혜교수,2017-2학기,전공필수
2.2,4.2,3.6,3.6,3.3,오춘호 교수님,국제경영론,2017-2학기,전공필수
4.2,3.7,3.4,4.1,3.6,신만수 교수님,아시아관점에서의한국경영과관리(영강),2017-2학기,전공선택
4.8,3.8,3.3,3,3.7,Martin Hemmert 교수님,지역연구(일본)(영강),2017-2학기,전공선택
4.7,4.1,3.6,3.6,4,정재호 교수님,거시경제와글로벌비즈니스이해(영강),2017-2학기,전공선택
4.7,3.3,3.9,3.6,3.3,편주현 교수님,거시경제와글로벌비즈니스이해(영강) 유연학기제 시행 예정임_Flexible Semester(10/31~12/21),2017-2학기,전공선택
4.7,3.5,3.6,3.9,3.9,김익수 교수님,중국경제론,2017-2학기,전공선택
4,2.8,3.8,4,2.8,정인식 교수님,국제마케팅론(영강),2017-2학기,전공선택
1.9,3.1,2.7,3,3.5,박종원 교수님,소비자행동,2017-2학기,전공선택
3.5,3.6,3.6,4.2,4.3,류강석 교수님,소비자행동,2017-2학기,전공선택
1.3,3.6,2.5,2.9,2.3,석관호 교수님,소비자행동(영강),2017-2학기,전공선택
4.7,3.5,2.9,3.4,3.6,윤성아 교수님,소비자행동(영강),2017-2학기,전공선택
4.8,3.9,3.5,3.5,4.2,정재호 교수님,국제금융론(영강),2017-2학기,전공선택
2,3.8,3.1,3.1,3.5,이만우 교수님,세무회계,2017-2학기,전공선택
5,3.6,3.9,3.8,4,유승원 교수님,회계학이론,2017-2학기,전공선택
4.6,3.4,3.6,3.6,4.3,이원희 교수님,노사관계론,2017-2학기,전공선택
4.8,3,3.3,3,2.8,김희천 교수님,혁신과전략(영강),2017-2학기,전공선택
2.2,3.8,2.3,1.7,3.8,김진배 교수님,전략적관리회계,2017-2학기,전공선택
4.8,3.2,4.6,4.2,4.1,배종석 교수님,인적자원관리,2017-2학기,전공선택
4.5,3.7,3.3,3.7,2.6,이수진 교수님,인적자원관리,2017-2학기,전공선택
1.4,3.1,3.2,3.1,2.7,정석우 교수님,고급회계,2017-2학기,전공선택
1.7,4.1,2.4,2.5,3.7,김상용 교수님,유통관리,2017-2학기,전공선택
4.9,3.4,2.7,2.9,1.6,이종호 교수님,마케팅전략(영강),2017-2학기,전공선택
5,3.7,3,3,3.5,Tony C. Garrett 교수님,마케팅전략(영강),2017-2학기,전공선택
4.7,3.8,3.2,4.1,3.2,문형구 교수님,기업윤리,2017-2학기,전공선택
4.9,3.6,3.5,3.6,4.2,이동욱 교수님,국제재무관리(영강),2017-2학기,전공선택
4.7,4.4,2.6,2.6,2.7,임호순 교수님,서비스운영관리(영강),2017-2학기,전공선택
2.5,3.5,4,3.5,4,이재남 교수님,프로세스혁신및프로젝트관리(영강),2017-2학기,전공선택
1.4,4.2,2.9,3,4.3,황준호 교수님,기업재무(영강),2017-2학기,전공선택
4.8,3.5,3.2,3.3,3.8,나현승 교수님,기업재무(영강),2017-2학기,전공선택
4,3.4,3.9,3.7,4.2,박진관 교수님,기업재무(영강),2017-2학기,전공선택
1.5,3.9,3.7,3.8,4.1,강상구 교수님,기업재무,2017-2학기,전공선택
4.4,2.6,3.3,3.3,2.6,Anat Zeelim-Hovav 교수님,정보보안관리(영강) 유연학기제 시행 예정임_Flexible Semester(9/4~10/25),2017-2학기,전공선택
1.9,3.7,4.8,4.4,4.5,김배호 교수님,선물옵션(영강),2017-2학기,전공선택
4.9,4.3,3.1,2.1,2.4,김도완 교수님,선물옵션,2017-2학기,전공선택
5,4.1,2.7,2.4,3.2,이동원 교수님,인터넷비즈니스와전자상거래(영강),2017-2학기,전공선택
2,3.3,4,2.7,3,이장혁 교수님,마케팅엔지니어링(영강),2017-2학기,전공선택
4.5,3.3,2.6,2.8,3.8,김태규 교수님,비즈니스협상(영강),2017-2학기,전공선택
4.8,3.8,2.4,3.7,3.1,권성우 교수님,비즈니스협상(영강),2017-2학기,전공선택
4.4,4,4.4,4.3,4,남대일 교수님,"경영전략(영강) 3,4학년 신청가능 과목",2017-2학기,전공필수
4.7,3.5,3.5,3.8,4.1,김언수 교수님,"경영전략(영강) 3,4학년 신청가능 과목",2017-2학기,전공필수
4.9,3.6,3.5,3.7,3.7,조명현 교수님,"경영전략 3,4학년 신청가능 과목",2017-2학기,전공필수
5,4,4,4,4.4,정창화 교수님,"경영전략(영강) 3,4학년 신청가능 과목",2017-2학기,전공필수
4.9,4.4,2.5,2.6,3.8,김봉선 교수님,"경영전략(영강) 3,4학년 신청가능 과목",2017-2학기,전공필수
3.8,4.3,2.9,2.7,3.6,박상범 교수님,"경영전략(영강) 3,4학년 신청가능 과목",2017-2학기,전공필수
3.6,3.4,2.4,2.7,2.8,안혜성 교수님,경영전략(영강),2017-2학기,전공필수
4,3.6,2.8,2.6,2.6,이종호 교수님,마케팅과혁신(영강),2017-2학기,전공선택
4.5,3.4,3.1,3.4,3.1,Tony C. Garrett 교수님,신상품개발과마케팅(영강),2017-2학기,전공선택
4.7,3.6,3.6,2.7,3.7,문정빈 교수님,소셜벤처창업,2017-2학기,전공선택
2,3.9,2.4,2.8,2.7,홍세준 교수님,IT혁신관리:이슈와트렌드(영강),2017-2학기,전공선택
1.4,3.8,3.9,4,4.6,김우찬 교수님,기업지배구조의이론과실제(영강),2017-2학기,전공선택
3.7,3.5,4,4.2,3.7,김동철 교수님,채권론(영강),2017-2학기,전공선택
4.8,3.7,3.8,3.6,4,이동욱 교수님,채권론(영강),2017-2학기,전공선택
3.2,3.3,4.1,3.9,4.3,배진한 교수님,기업가치평가(영강),2017-2학기,전공선택
2,3.5,3,4.5,4,이동섭 교수님,리더쉽:이론과실제(영강),2017-2학기,전공선택
4.7,4,2.5,3,3,김영규 교수님,소셜네트워크와경쟁우위(영강),2017-2학기,전공선택
3,3.3,3.8,4.5,3.7,염규옥 교수님,회계감사,2017-2학기,전공선택
1.4,3.8,4,3.7,3,이한상 교수님,금융회계(영강),2017-2학기,전공선택
3,3.3,3,2,3.5,김재환 교수님,국내경영현장실습Ⅰ 경영대학 홈페이지 공지사항 통해서 신청바람(재학생만 학점인정가능),2017-2학기,전공선택
1,3,3,1,3,김재환 교수님,국내경영현장실습Ⅱ 경영대학 홈페이지 공지사항 통해서 신청바람(재학생만 학점인정가능),2017-2학기,전공선택
2.3,3.3,3,1.7,3.3,김재환 교수님,국내경영현장실습Ⅲ 경영대학 홈페이지 공지사항 통해서 신청바람(재학생만 학점인정가능),2017-2학기,전공선택
4.3,4.1,2.9,3.1,3.6,이두희 교수님,인터넷마케팅,2017-2학기,전공선택
2.5,2.3,2.7,2.5,2.3,이장혁 교수님,인터넷마케팅(영강),2017-2학기,전공선택
3.8,4.4,3,3.4,3.2,박명섭 교수님,"구매,공급관리",2017-2학기,전공선택
2.7,2.3,1,1,1,오승주 교수님,창의설계 (신소재공학부),2017-2학기,전공선택
4.3,3.4,2.9,3.1,3,이재상 교수님,창의설계(영강) (건축사회환경공학부),2017-2학기,전공선택
4,3.8,2.6,2.3,3,노준홍 교수님,창의설계(영강) (건축사회환경공학부),2017-2학기,전공선택
2.1,3.5,2.2,1.6,2.7,이병양 교수님,창의설계(영강) (기계공학부),2017-2학기,전공선택
1.7,3,1.9,1.9,2.5,최원준 교수님,창의설계(영강) (기계공학부),2017-2학기,전공선택
