chulseok,grade,difficulty,load,achievement,proff,className,sem,classtype
4.3,3.7,3.4,3.7,3.3,임희주 교수님,오퍼레이션스관리(영강),2018-1학기,전공필수
4.7,3.9,3.0,3.0,3.4,안철옥 교수님,오퍼레이션스관리(영강),2018-1학기,전공필수
3.7,4.0,2.9,3.1,3.8,이상준 교수님,오퍼레이션스관리(영강),2018-1학기,전공필수
5.0,4.0,2.8,2.8,3.1,정의범 교수님,오퍼레이션스관리(영강),2018-1학기,전공필수
5.0,3.2,4.5,4.9,3.7,윤성수 교수님,중급회계I,2018-1학기,전공필수
2.5,3.7,3.0,2.9,4.3,최우석 교수님,중급회계I(영강),2018-1학기,전공필수
2.4,3.6,2.8,3.0,4.4,최우석 교수님,중급회계I(영강),2018-1학기,전공필수
4.8,4.3,3.4,3.5,3.7,지승민 교수님,중급회계I(영강),2018-1학기,전공필수
2.5,4.7,2.9,2.6,3.1,윤용석 교수님,중급회계I(영강),2018-1학기,전공필수
4.0,3.8,3.1,3.3,3.2,신재은 교수님,중급회계I(영강),2018-1학기,전공필수
3.0,3.7,3.5,3.8,4.1,김재영 교수님,중급회계I(영강),2018-1학기,전공필수
3.4,4.1,3.6,3.9,3.4,김지혜 교수님,중급회계I(영강),2018-1학기,전공필수
2.8,4.3,2.7,2.6,3.5,이상호 교수님,중급회계I(영강),2018-1학기,전공필수
1.8,3.0,3.7,3.5,2.7,배길수 교수님,중급회계II,2018-1학기,전공선택
3.2,2.5,4.5,4.5,3.0,배진한 교수님,중급회계II(영강),2018-1학기,전공선택
1.9,3.3,3.6,3.2,3.4,한재민 교수님,경영정보시스템,2018-1학기,전공필수
2.4,3.6,3.3,2.5,2.1,정호원 교수님,경영정보시스템,2018-1학기,전공필수
2.4,4.0,2.9,3.2,2.4,홍세준 교수님,경영정보시스템(영강),2018-1학기,전공필수
5.0,4.0,2.4,2.6,3.4,Anat Zeelim-Hovav 교수님,경영정보시스템(영강),2018-1학기,전공필수
4.7,3.7,2.6,2.3,2.5,이동원 교수님,경영정보시스템(영강),2018-1학기,전공필수
4.0,2.0,4.0,3.0,1.0,문재윤 교수님,경영정보시스템(영강),2018-1학기,전공필수
1.8,3.8,2.7,2.5,3.7,- 교수님,경영정보시스템(영강) 고병완 신임교원(예정),2018-1학기,전공필수
4.6,4.4,2.4,2.3,3.3,전수현 교수님,경영정보시스템,2018-1학기,전공필수
4.7,3.6,2.4,2.5,2.8,이두희 교수님,광고론,2018-1학기,전공선택
4.7,3.6,2.7,2.9,3.7,최진희 교수님,광고론(영강),2018-1학기,전공선택
4.0,4.0,2.7,3.3,3.4,Fang-Chi Lu 교수님,광고론(영강),2018-1학기,전공선택
1.7,4.0,3.1,3.4,3.5,김진배 교수님,관리회계,2018-1학기,전공선택
4.8,3.1,3.3,3.4,3.8,윤성수 교수님,관리회계(영강),2018-1학기,전공선택
4.3,3.7,3.2,3.1,4.0,유승원 교수님,관리회계(영강),2018-1학기,전공선택
1.0,3.0,3.0,2.0,4.0,한승수 교수님,관리회계(영강),2018-1학기,전공선택
3.4,3.9,2.4,2.7,3.0,정남철 교수님,관리회계(영강),2018-1학기,전공선택
1.6,3.5,2.3,2.2,2.9,김상용 교수님,마케팅조사론,2018-1학기,전공선택
4.5,2.8,2.9,3.3,3.5,유시진 교수님,마케팅조사론(영강),2018-1학기,전공선택
4.7,4.0,3.1,3.3,4.1,유원상 교수님,마케팅조사론(영강),2018-1학기,전공선택
1.6,3.4,4.2,4.3,4.1,손범진 교수님,투자론(영강),2018-1학기,전공선택
3.6,4.4,2.9,2.9,3.9,이웅기 교수님,투자론,2018-1학기,전공선택
3.8,4.7,2.7,2.6,3.7,이웅기 교수님,투자론,2018-1학기,전공선택
1.5,4.4,3.5,3.3,3.5,정재웅 교수님,투자론,2018-1학기,전공선택
4.9,4.1,2.5,2.7,3.1,남대일 교수님,벤처경영,2018-1학기,전공선택
4.9,2.3,2.8,2.5,3.1,김태규 교수님,조직행동론(영강),2018-1학기,전공필수
3.9,3.5,2.9,3.7,3.7,전재욱 교수님,조직행동론(영강),2018-1학기,전공필수
2.6,2.8,3.3,3.5,3.2,이동섭 교수님,조직행동론(영강),2018-1학기,전공필수
4.7,3.6,2.6,4.4,2.3,권성우 교수님,조직행동론(영강),2018-1학기,전공필수
4.7,3.4,2.8,3.9,3.1,문형구 교수님,조직행동론,2018-1학기,전공필수
5.0,3.7,2.8,3.6,3.4,김형은 교수님,조직행동론(영강),2018-1학기,전공필수
3.0,4.3,2.8,2.0,2.3,국화 교수님,조직행동론(영강),2018-1학기,전공필수
5.0,3.7,3.1,3.1,3.6,오주연 교수님,조직행동론(영강),2018-1학기,전공필수
4.9,2.9,3.5,4.4,3.1,신만수 교수님,국제경영론,2018-1학기,전공필수
4.8,3.5,3.7,3.8,4.7,이재혁 교수님,국제경영론,2018-1학기,전공필수
5.0,4.0,4.0,4.0,4.8,정창화 교수님,국제경영론(영강),2018-1학기,전공필수
3.7,3.7,3.0,3.7,3.0,문정빈 교수님,국제경영론(영강),2018-1학기,전공필수
4.6,3.3,2.8,3.1,2.7,조경아 교수님,국제경영론(영강),2018-1학기,전공필수
4.5,4.1,2.7,3.1,2.8,김순성 교수님,국제경영론(영강),2018-1학기,전공필수
3.8,3.8,3.0,3.3,2.8,조진완 교수님,국제경영론(영강),2018-1학기,전공필수
3.1,4.1,2.4,2.4,2.6,오춘호 교수님,국제경영론(영강),2018-1학기,전공필수
5.0,3.1,3.6,4.0,3.3,김익수 교수님,지역연구(중국),2018-1학기,전공선택
4.2,3.6,3.1,2.8,3.3,편주현 교수님,국제무역론(영강),2018-1학기,전공선택
1.5,2.9,3.7,2.9,3.4,한재민 교수님,IT기반비즈니스모델,2018-1학기,전공선택
2.5,4.0,3.5,3.3,3.3,정인식 교수님,국제마케팅론,2018-1학기,전공선택
4.6,3.4,3.7,4.2,4.0,류강석 교수님,소비자행동,2018-1학기,전공선택
1.1,2.9,3.1,2.8,1.6,석관호 교수님,소비자행동(영강),2018-1학기,전공선택
4.7,3.8,3.1,3.2,4.1,윤성아 교수님,소비자행동(영강),2018-1학기,전공선택
4.8,3.5,4.0,3.8,3.8,정재호 교수님,국제금융론(영강),2018-1학기,전공선택
2.7,3.9,3.5,3.8,3.6,조혜진 교수님,국제금융론(영강),2018-1학기,전공선택
4.6,3.8,3.6,3.6,3.1,이만우 교수님,세무회계,2018-1학기,전공선택
4.5,3.8,3.7,3.9,4.1,유승원 교수님,회계학이론,2018-1학기,전공선택
4.6,3.1,3.5,3.5,4.0,이원희 교수님,노사관계론,2018-1학기,전공선택
4.8,4.3,2.9,3.1,2.3,이수진 교수님,인적자원관리,2018-1학기,전공선택
4.4,3.7,3.8,3.7,3.8,이만우 교수님,고급회계,2018-1학기,전공선택
4.5,3.6,3.1,3.2,2.5,이종호 교수님,마케팅전략(영강),2018-1학기,전공선택
4.3,3.4,2.3,2.6,3.2,김희천 교수님,조직디자인과경쟁우위(영강),2018-1학기,전공선택
4.6,4.0,3.2,2.8,3.9,이동욱 교수님,국제재무관리(영강),2018-1학기,전공선택
2.6,3.5,4.0,3.6,3.8,신호정 교수님,전략적수요및수익관리,2018-1학기,전공선택
1.5,3.9,3.2,3.2,4.3,황준호 교수님,기업재무(영강),2018-1학기,전공선택
3.8,4.1,2.9,2.5,3.1,류두원 교수님,기업재무(영강),2018-1학기,전공선택
1.0,3.4,3.2,3.1,3.0,- 교수님,기업재무 강사미정,2018-1학기,전공선택
4.3,3.1,3.9,3.8,4.0,박진관 교수님,기업재무(영강),2018-1학기,전공선택
4.8,3.6,3.2,3.2,3.6,나현승 교수님,기업재무(영강),2018-1학기,전공선택
4.8,3.0,3.0,2.8,2.5,Anat Zeelim-Hovav 교수님,정보보안관리(영강),2018-1학기,전공선택
3.3,2.8,3.8,3.9,3.6,김동철 교수님,선물옵션(영강),2018-1학기,전공선택
1.9,3.3,4.3,4.0,4.1,김배호 교수님,선물옵션(영강),2018-1학기,전공선택
2.6,3.8,4.0,3.6,3.8,이장혁 교수님,마케팅엔지니어링,2018-1학기,전공선택
2.3,3.4,3.8,3.1,2.9,이장혁 교수님,서비스마케팅(영강),2018-1학기,전공선택
4.1,2.4,4.1,4.2,4.4,김재환 교수님,현대기아차글로벌마케팅전략,2018-1학기,전공선택
4.7,3.7,2.5,3.5,2.8,권성우 교수님,비즈니스협상(영강),2018-1학기,전공선택
4.4,3.7,3.2,3.4,4.0,김언수 교수님,경영전략(영강),2018-1학기,전공필수
4.5,4.0,2.8,2.9,3.2,김영규 교수님,경영전략(영강),2018-1학기,전공필수
4.6,3.6,3.5,3.7,3.6,조명현 교수님,경영전략,2018-1학기,전공필수
4.7,3.9,3.7,4.0,4.2,이재혁 교수님,경영전략,2018-1학기,전공필수
4.7,3.4,3.0,3.3,2.6,이정은 교수님,경영전략(영강),2018-1학기,전공필수
4.6,3.9,2.7,2.5,2.8,김봉선 교수님,경영전략(영강),2018-1학기,전공필수
5.0,3.9,3.2,2.5,4.1,문정빈 교수님,소셜벤처창업,2018-1학기,전공선택
1.6,4.3,2.2,2.5,2.5,홍세준 교수님,IT혁신관리:이슈와트렌드(영강),2018-1학기,전공선택
4.6,3.8,3.3,3.2,4.1,이동욱 교수님,채권론(영강),2018-1학기,전공선택
1.1,3.3,2.8,2.1,1.3,김창기 교수님,위험관리(영강),2018-1학기,전공선택
1.2,4.1,2.8,2.7,3.1,유용근 교수님,기업가치평가,2018-1학기,전공선택
3.5,3.4,4.0,3.7,3.5,김동철 교수님,고급투자론(영강),2018-1학기,전공선택
3.0,3.7,3.0,3.6,3.7,이동섭 교수님,리더쉽:이론과실제(영강),2018-1학기,전공선택
4.4,3.8,2.3,2.7,3.2,김영규 교수님,소셜네트워크와경쟁우위(영강),2018-1학기,전공선택
3.9,3.7,2.6,2.4,2.6,임호순 교수님,품질경영,2018-1학기,전공선택
1.3,3.9,4.1,4.2,3.8,김대기 교수님,로지스틱스관리,2018-1학기,전공선택
4.9,3.8,4.1,4.2,4.4,최진욱 교수님,데이터관리와지적경영,2018-1학기,전공선택
4.3,3.8,3.0,3.3,2.9,Tony C. Garrett 교수님,제품및브랜드관리(영강),2018-1학기,전공선택
2.6,3.8,2.6,2.6,3.2,진영호 교수님,국내경영현장실습Ⅰ,2018-1학기,전공선택
3.0,4.0,3.0,3.0,3.0,진영호 교수님,국내경영현장실습Ⅱ,2018-1학기,전공선택
2.3,4.3,2.3,2.3,3.7,진영호 교수님,국내경영현장실습Ⅲ,2018-1학기,전공선택
4.7,3.8,2.7,2.8,3.0,이두희 교수님,인터넷마케팅,2018-1학기,전공선택
4.9,4.3,1.7,1.8,3.1,권수영 교수님,글로벌CEO특강,2018-1학기,전공선택
3.5,4.5,3.5,4.0,4.0,백경록 교수님,창의설계,2018-1학기,전공선택
3.5,2.3,2.0,2.5,3.0,이종구 교수님,창의설계(영강),2018-1학기,전공선택
4.6,3.6,2.7,2.5,3.1,오승주 교수님,창의설계,2018-1학기,전공선택
3.9,4.0,2.6,2.7,3.1,정태수 교수님,데이터과학기초(영강),2018-1학기,전공선택
5.0,4.2,2.5,1.7,2.5,송광호 교수님,기술과창업,2018-1학기,전공선택
3.8,3.4,3.1,3.3,3.8,정진택 교수님,열역학I,2018-1학기,전공필수
4.1,2.9,3.4,3.4,4.1,윤석구 교수님,열역학I(영강),2018-1학기,전공필수
2.4,4.0,3.2,3.6,3.8,심준형 교수님,열역학I(영강),2018-1학기,전공필수
4.4,3.5,3.4,3.9,3.3,채수원 교수님,고체역학I,2018-1학기,전공필수
4.0,4.1,3.1,3.2,3.9,김윤재 교수님,고체역학I(영강),2018-1학기,전공필수
4.1,3.4,3.2,4.4,2.4,최우천 교수님,기계제작법및실습,2018-1학기,전공필수
4.8,4.0,3.1,3.2,4.3,심재경 교수님,전산기이용기계제도,2018-1학기,전공필수
4.2,3.7,2.2,3.1,3.3,최병호 교수님,전산기이용기계제도(영강),2018-1학기,전공필수
1.3,3.8,3.9,3.4,3.6,심재경 교수님,기구학,2018-1학기,전공필수
1.9,3.5,3.3,3.3,3.5,이호성 교수님,공업수학I(영강),2018-1학기,전공선택
1.7,4.2,3.4,3.2,3.7,정석 교수님,공업수학I(영강),2018-1학기,전공선택
4.7,3.7,4.0,3.9,3.3,홍대희 교수님,동역학(영강),2018-1학기,전공필수
