chulseok,grade,difficulty,load,achievement,proff,className,sem,classtype
4.6,3.4,3.6,3.7,3.6,현승훈 교수님,화학의기초및연습Ⅰ(영강) 2017 환경생태공학부(523~끝),2017-1학기,교양
2.7,3.8,2.7,2.9,3.1,권정환 교수님,화학의기초및연습Ⅰ(영강) 신입생 외(재수강/고학년/편입생/타학과생),2017-1학기,교양
4.0,3.5,3.7,3.3,3.5,김진수 교수님,생물통계학,2017-1학기,교양
1.6,2.9,3.3,3.2,2.9,홍기창 교수님,생물통계학,2017-1학기,교양
5.0,3.5,2.7,2.8,3.3,천용식 교수님,생물통계학,2017-1학기,교양
5.0,2.0,1.0,2.0,1.0,송현규 교수님,화학의기초실험Ⅰ 2017 생명과학부(001-017),2017-1학기,교양
4.0,3.5,3.0,3.0,3.2,정남현 교수님,화학의기초실험Ⅰ 2017 생명과학부(052-068),2017-1학기,교양
5.0,4.0,1.0,2.0,3.0,황광연 교수님,화학의기초실험Ⅰ 2017 생명과학부(069-085),2017-1학기,교양
3.3,3.7,2.7,3.3,3.0,이병천 교수님,화학의기초실험Ⅰ 2017 생명공학부(242-258),2017-1학기,교양
3.0,3.0,4.0,4.0,4.0,최인걸 교수님,화학의기초실험Ⅰ 2017 생명공학부(276-292),2017-1학기,교양
4.3,3.7,2.8,3.2,3.0,이병천 교수님,화학의기초실험Ⅰ 2017 생명공학부(293-끝)2017 식품공학과(401-404),2017-1학기,교양
4.6,3.8,2.6,2.2,3.2,황광연 교수님,화학의기초실험Ⅰ 2017 식품공학과(405-421),2017-1학기,교양
4.7,3.7,3.3,3.7,4.3,현승훈 교수님,화학의기초실험Ⅰ 2017 환경생태공학부(514-531),2017-1학기,교양
2.5,3.0,3.5,2.5,3.0,김정규 교수님,화학의기초실험Ⅰ 2017 환경생태공학부(532-549),2017-1학기,교양
5.0,3.5,3.0,3.0,4.0,권정환 교수님,화학의기초실험Ⅰ 2017 환경생태공학부(550-끝),2017-1학기,교양
5.0,3.3,3.0,3.0,3.7,권정환 교수님,화학의기초실험Ⅰ 신입생 외(재수강/고학년/편입생/타학과생),2017-1학기,교양
4.7,3.2,2.1,1.6,2.1,양승룡 교수님,식품자원경제학개론,2017-1학기,교양
1.8,3.4,3.2,3.5,3.5,임송수 교수님,시장과경제(영강),2017-1학기,교양
3.8,3.1,3.9,3.9,3.9,임재영 교수님,응용경제수학(영강),2017-1학기,교양
4.7,2.6,3.3,3.8,3.0,주형민 교수님,"정치학의기본탐구 (학수번호변경, 유사과목:POLI151)",2017-1학기,교양
4.3,4.8,2.6,2.6,3.0,송재혁 교수님,정치학원론 (정외1전공자 수강불가),2017-1학기,교양
2.1,3.6,3.0,3.6,3.0,권오익 교수님,세계와한국경제 학수번호변경(유사과목:ECON150)<2017학번부터 수강불가/2016학번은 재수강만 가능>,2017-1학기,교양
1.8,3.3,2.7,2.8,2.9,조형준 교수님,통계적탐구,2017-1학기,교양
2.2,3.2,3.6,3.4,3.7,전명식 교수님,기초통계학,2017-1학기,교양
3.7,4.2,2.5,2.5,3.5,정재환 교수님,기초통계학 (인문계생에 한함/자연계생 수강불가),2017-1학기,교양
1.2,3.5,3.5,3.6,3.7,백정민 교수님,기초통계학 (자연계캠퍼스),2017-1학기,교양
1.4,3.6,3.6,3.6,3.7,백정민 교수님,기초통계학 (자연계캠퍼스),2017-1학기,교양
2.6,4.0,2.8,3.9,3.9,윤성식 교수님,행정학원론 (행정학과1전공자에 한함),2017-1학기,교양
2.0,3.2,3.1,3.6,2.8,김헌 교수님,행정학원론,2017-1학기,교양
5.0,3.0,4.0,1.0,4.0,정광섭 교수님,"일반화학실험Ⅰ 수학 '17학번, 물리 '17학번",2017-1학기,교양
5.0,3.0,4.0,3.0,3.0,김준곤 교수님,일반화학실험Ⅰ 화공생명 '17학번,2017-1학기,교양
5.0,3.0,4.0,5.0,3.0,김학중 교수님,일반화학실험Ⅰ 신소재 '17학번 (91-끝),2017-1학기,교양
5.0,3.0,4.0,4.0,4.0,최기항 교수님,일반화학실험Ⅰ 전기전자전파 '17학번 (1-100),2017-1학기,교양
4.0,2.5,2.5,2.5,2.5,이석중 교수님,일반화학실험Ⅰ 전기전자전파 '17학번 (100-끝),2017-1학기,교양
5.0,4.0,2.5,2.5,4.0,우한영 교수님,일반화학실험Ⅰ 바이오시스템 '17학번 (CHEM153 재수강),2017-1학기,교양
5.0,3.0,2.0,3.0,2.0,김준곤 교수님,일반화학실험Ⅰ 바이오의공 '17학번(CHEM153 재수강),2017-1학기,교양
4.7,4.0,3.0,2.7,4.3,정광섭 교수님,"일반화학실험Ⅰ 화학 '17학번, 지구 '17학번",2017-1학기,교양
5.0,4.0,3.0,5.0,4.0,김학중 교수님,일반화학실험Ⅰ 신소재 '17학번 (1-90),2017-1학기,교양
5.0,3.0,3.0,4.0,2.0,김학중 교수님,일반화학실험Ⅰ 신소재 '17학번 (1-90),2017-1학기,교양
5.0,4.0,3.0,3.0,3.0,최기항 교수님,일반화학실험Ⅰ 전기전자전파 '17학번 (1-100),2017-1학기,교양
5.0,3.0,3.0,4.0,3.0,최기항 교수님,일반화학실험Ⅰ 전기전자전파 '17학번 (1-100),2017-1학기,교양
4.5,3.5,3.0,3.0,3.5,최기항 교수님,일반화학실험Ⅰ 전기전자전파 '17학번 (100-끝),2017-1학기,교양
5.0,5.0,2.0,2.0,3.0,최기항 교수님,일반화학실험Ⅰ 전기전자전파 '17학번 (100-끝),2017-1학기,교양
5.0,2.0,5.0,5.0,3.0,우한영 교수님,일반화학실험Ⅰ 바이오시스템 '17학번 (CHEM153 재수강),2017-1학기,교양
5.0,4.0,4.0,4.0,4.0,우한영 교수님,일반화학실험Ⅰ 바이오시스템 '17학번 (CHEM153 재수강),2017-1학기,교양
3.0,3.0,4.0,4.0,1.0,김준곤 교수님,일반화학실험Ⅰ 바이오의공 '17학번(CHEM153 재수강),2017-1학기,교양
5.0,4.0,3.0,3.0,4.0,우한영 교수님,일반화학실험 기계공학 '17학번 (65-끝),2017-1학기,교양
