chulseok,grade,difficulty,load,achievement,proff,className,sem,classtype
5.0,2.8,4.6,5.0,3.1,추진아 교수님,간호연구방법론,2018-2학기,전공선택
4.5,2.5,3.0,2.4,3.5,전진영 교수님,간호진단,2018-2학기,전공선택
4.7,2.9,4.6,4.4,3.3,설근희 교수님,기초간호과학I,2018-2학기,전공선택
4.8,3.2,4.5,4.9,3.2,설근희 교수님,기초간호과학IV,2018-2학기,전공선택
3.5,4.3,2.3,1.8,2.5,설근희 교수님,기초간호과학실습I,2018-2학기,전공선택
4.5,4.0,2.3,2.2,4.3,전진영 교수님,생명윤리 수업시간 : 14:00-14:50,2018-2학기,전공선택
4.8,3.3,3.7,4.4,3.9,장성옥 교수님,기본간호학II,2018-2학기,전공선택
4.6,3.8,3.2,3.6,3.8,장성옥 교수님,기본간호학실습II,2018-2학기,전공선택
5.0,4.0,3.6,4.6,4.0,박수경 교수님,건강사정(영강) 수업시간 : 9:00-9:50,2018-2학기,전공선택
5.0,3.0,5.0,5.0,4.0,정선영 교수님,건강사정실습,2018-2학기,전공선택
5.0,3.5,3.5,4.5,5.0,"박수경,김성렬 교수님",성인간호학IV 변경 후 : 수 (10:45~12:25) 박수경 교수님변경 후 : 수 (14:00-14:40) 김성렬 교수님변경 후 : 목 (10:45-12:25) 김성렬 교수님,2018-2학기,전공선택
5.0,1.7,3.3,3.7,3.3,"신나미,김성렬 교수님",성인간호학실습I,2018-2학기,전공선택
5.0,1.0,1.0,1.0,1.0,박수경 교수님,성인간호학실습I,2018-2학기,전공선택
5.0,3.3,3.3,3.7,4.0,정선영 교수님,성인간호학실습I,2018-2학기,전공선택
5.0,3.0,4.0,5.0,4.3,오원옥 교수님,아동간호학II 수업시간 :수 9:00-10:30금 10:00-12:45,2018-2학기,전공선택
5.0,3.6,4.4,4.6,4.8,신현정 교수님,모성간호학II 수업시간 :화 5-6교시 / 수 6교시(15:00-16:40),2018-2학기,전공선택
4.5,3.0,1.5,2.5,2.0,박민선 교수님,노인간호학실습,2018-2학기,전공선택
4.5,4.0,3.3,4.3,2.0,"한금선,박미연 교수님",정신간호학I 수업시간 :화 9:00-11:45목 9:00-10:30,2018-2학기,전공필수
3.2,4.1,3.2,2.9,4.4,신명철 교수님,Topic Course 전략적기술사업화 (Technology Entrepreneurship and Commercialization),2018-2학기,전공선택
3.9,3.7,4.1,3.8,3.4,임희주 교수님,경영수학(영강),2018-2학기,전공선택
3.8,4.1,3.9,3.8,3.8,임희주 교수님,경영수학(영강),2018-2학기,전공선택
1.8,4.0,2.1,2.4,4.0,김상용 교수님,마케팅원론,2018-2학기,전공필수
4.5,3.1,3.6,4.1,4.3,류강석 교수님,마케팅원론,2018-2학기,전공필수
2.7,2.8,1.9,2.1,1.9,석관호 교수님,마케팅원론(영강),2018-2학기,전공필수
4.7,3.7,2.3,3.8,4.8,유시진 교수님,마케팅원론(영강),2018-2학기,전공필수
4.8,4.0,3.1,3.2,3.8,유원상 교수님,마케팅원론(영강),2018-2학기,전공필수
4.6,4.0,2.9,3.8,3.5,Fang-Chi Lu 교수님,마케팅원론(영강),2018-2학기,전공필수
4.3,2.4,2.8,3.4,3.1,정윤주 교수님,마케팅원론(영강),2018-2학기,전공필수
5.0,3.3,2.7,3.3,2.7,황산영 교수님,마케팅원론,2018-2학기,전공필수
2.3,3.4,3.9,3.6,3.9,박경서 교수님,재무관리(영강),2018-2학기,전공필수
1.8,4.2,3.2,3.2,4.4,황준호 교수님,재무관리(영강),2018-2학기,전공필수
3.2,3.6,4.0,4.3,4.1,임찬우 교수님,재무관리 공과대학 학생 전용 분반,2018-2학기,전공필수
4.9,4.2,2.7,2.6,3.3,류두원 교수님,재무관리(영강),2018-2학기,전공필수
1.7,4.5,2.3,2.4,3.5,정재웅 교수님,재무관리,2018-2학기,전공필수
1.8,3.6,2.8,2.5,2.8,정지웅 교수님,재무관리(영강),2018-2학기,전공필수
4.2,3.3,3.5,3.7,4.5,김중혁 교수님,재무관리(영강),2018-2학기,전공필수
4.9,3.7,3.0,3.2,4.1,나현승 교수님,재무관리(영강),2018-2학기,전공필수
1.0,4.3,2.8,3.0,3.6,김부식 교수님,재무관리(영강),2018-2학기,전공필수
1.6,4.2,3.0,3.1,4.0,김부식 교수님,재무관리(영강),2018-2학기,전공필수
3.5,3.6,3.1,3.2,4.4,신호정 교수님,오퍼레이션스관리(영강),2018-2학기,전공필수
4.9,2.9,3.4,3.4,3.7,김병조 교수님,오퍼레이션스관리(영강),2018-2학기,전공필수
4.9,3.8,2.6,2.9,3.6,안철옥 교수님,오퍼레이션스관리(영강),2018-2학기,전공필수
4.3,4.1,3.3,3.4,3.9,이상준 교수님,오퍼레이션스관리(영강),2018-2학기,전공필수
5.0,3.7,2.7,2.9,3.0,정의범 교수님,오퍼레이션스관리(영강),2018-2학기,전공필수
4.4,3.6,3.2,3.4,4.0,홍지현 교수님,오퍼레이션스관리(영강),2018-2학기,전공필수
4.1,3.6,3.9,3.9,4.1,윤성수 교수님,중급회계I,2018-2학기,전공필수
2.8,3.5,2.5,2.6,4.0,최우석 교수님,중급회계I(영강),2018-2학기,전공필수
4.0,4.4,3.3,3.6,4.1,지승민 교수님,중급회계I(영강),2018-2학기,전공필수
3.6,4.1,3.1,3.2,3.4,신재은 교수님,중급회계I(영강),2018-2학기,전공필수
