chulseok,grade,difficulty,load,achievement,proff,className,sem,classtype
4.5,3.8,2.9,2.6,3.1,편주현 교수님,국제무역론(영강),2019-1학기,전공선택
3.6,1.9,2.8,3,2.8,정인식 교수님,국제마케팅론,2019-1학기,전공선택
1.2,2.8,2.9,3.4,3.7,박종원 교수님,소비자행동,2019-1학기,전공선택
4.5,3.6,3.8,4.4,4.5,류강석 교수님,소비자행동,2019-1학기,전공선택
2,3,2.5,2.7,2.5,석관호 교수님,소비자행동(영강),2019-1학기,전공선택
4.9,3.8,2.9,3.5,3.6,윤성아 교수님,소비자행동(영강),2019-1학기,전공선택
4.6,3.8,3.7,3.6,3.6,정재호 교수님,국제금융론(영강),2019-1학기,전공선택
3.6,3.6,3.6,3.9,3.1,조혜진 교수님,국제금융론(영강),2019-1학기,전공선택
1.5,2.6,3.4,3.1,1.7,정석우 교수님,세무회계,2019-1학기,전공선택
4.8,4,3.8,3.5,3.9,유승원 교수님,회계학이론,2019-1학기,전공선택
4.7,3.9,2.9,3.8,3.2,김동원 교수님,노사관계론,2019-1학기,전공선택
2.6,4.6,3,4,3.2,김광현 교수님,인적자원관리(영강),2019-1학기,전공선택
4.8,4.5,3.3,2.7,3.4,이만우 교수님,고급회계,2019-1학기,전공선택
4.6,2.7,3.3,2.9,2.6,김희천 교수님,조직디자인과경쟁우위(영강),2019-1학기,전공선택
3.6,4.2,3.3,3.3,4.2,신호정 교수님,전략적수요및수익관리(영강),2019-1학기,전공선택
3.8,2.9,4.1,3.8,4,김중혁 교수님,기업재무(영강),2019-1학기,전공선택
1.4,3.8,3.1,3.3,4.2,황준호 교수님,기업재무(영강),2019-1학기,전공선택
3.7,3.7,3.7,3,4.7,박진관 교수님,기업재무(영강),2019-1학기,전공선택
4.9,3.6,3,3.3,3.9,나현승 교수님,기업재무(영강),2019-1학기,전공선택
4.4,4.4,2.8,2.6,3.5,류두원 교수님,기업재무(영강),2019-1학기,전공선택
3,4,3,3.5,3,KimDan Jong 교수님,정보보안관리(영강),2019-1학기,전공선택
3.8,3.5,3.6,3.9,4,김동철 교수님,선물옵션(영강),2019-1학기,전공선택
1.2,3.2,4.5,4.2,4.2,김배호 교수님,선물옵션(영강),2019-1학기,전공선택
2.1,2.7,3.6,3,4.1,김재환 교수님,마케팅엔지니어링(영강),2019-1학기,전공선택
5,3.7,4,4.2,4.5,김재환 교수님,현대기아차글로벌마케팅전략,2019-1학기,전공선택
4.9,3.5,3.7,3.9,3.9,이재혁 교수님,경영전략,2019-1학기,전공필수
4,2.8,3.3,3.3,4,김언수 교수님,경영전략(영강),2019-1학기,전공필수
4.7,3.9,3.4,4,3.8,문정빈 교수님,경영전략(영강),2019-1학기,전공필수
3.5,3.4,2.7,2.7,3.5,이준만 교수님,경영전략(영강),2019-1학기,전공필수
4.9,3.9,3.4,3.6,3.7,김봉선 교수님,경영전략(영강),2019-1학기,전공필수
4.6,4,2.8,2.8,2.3,이종호 교수님,마케팅과혁신(영강),2019-1학기,전공선택
2.3,4.3,2.2,3.2,2.5,홍세준 교수님,IT혁신관리:이슈와트렌드(영강),2019-1학기,전공선택
1.9,4.1,3.7,4.1,4.9,김우찬 교수님,기업지배구조의이론과실제(영강),2019-1학기,전공선택
4.5,3.8,3.4,3.3,3.9,이동욱 교수님,채권론(영강),2019-1학기,전공선택
2.6,4,2.6,1.8,1.7,김창기 교수님,위험관리(영강),2019-1학기,전공선택
4.5,3.7,3.9,3.9,4.4,김동철 교수님,고급투자론(영강),2019-1학기,전공선택
4.3,4,3,3.7,3.7,이동섭 교수님,리더쉽:이론과실제(영강),2019-1학기,전공선택
4.7,4.3,2.1,2.3,2.7,김영규 교수님,소셜네트워크와경쟁우위(영강),2019-1학기,전공선택
5,3.3,4,3.3,3.3,배종석 교수님,경영의철학적이해,2019-1학기,전공선택
1.5,3.1,3.8,3.5,3.5,김대기 교수님,로지스틱스관리,2019-1학기,전공선택
2.7,3.9,4.3,3.9,3.4,서용무 교수님,데이터관리와지적경영,2019-1학기,전공선택
4.9,3.7,2.9,3.2,3.3,Tony C. Garrett 교수님,제품및브랜드관리(영강),2019-1학기,전공선택
5,4,5,2.5,5,진영호 교수님,국내경영현장실습Ⅰ,2019-1학기,전공선택
5,4,4.5,2.5,5,진영호 교수님,국내경영현장실습Ⅱ,2019-1학기,전공선택
5,3,5,4,5,진영호 교수님,국내경영현장실습Ⅲ,2019-1학기,전공선택
4.4,4,2.3,2.2,2.7,이두희 교수님,인터넷마케팅,2019-1학기,전공선택
4.9,2.7,1.9,2,2.9,김재욱 교수님,글로벌CEO특강,2019-1학기,전공선택
,,,,,,,,
,,,,,,,,
,,,,,,,,
