AcademicNumber
NRSG217
NRSG233
NRSG234
NRSG241
NRSG243
NRSG245
NRSG251
NRSG253
NRSG261
NRSG265
NRSG271
NRSG273
NRSG274
NRSG275
NRSG286
NRSG317
NRSG341
NRSG351
NRSG353
NRSG361
NRSG371
NRSG373
NRSG380
NRSG425
NRSG441
NRSG463
NRSG464
BUSS003
BUSS203
BUSS204
BUSS205
BUSS207
BUSS211
BUSS213
BUSS214
BUSS215
BUSS238
BUSS244
BUSS248
BUSS252
BUSS254
BUSS259
BUSS311
BUSS313
BUSS321
BUSS325
BUSS331
BUSS335
BUSS337
BUSS342
BUSS344
BUSS352
BUSS355
BUSS358
BUSS361
BUSS363
BUSS367
BUSS384
BUSS386
BUSS389
BUSS392
BUSS393
BUSS394
BUSS402
BUSS409
BUSS412
BUSS414
BUSS416
BUSS417
BUSS420
BUSS435
BUSS447
BUSS448
BUSS453
BUSS454
BUSS463
BUSS475
BUSS484
EGRN103
EGRN332
MECH201
MECH205
MECH209
MECH210
MECH211
MECH215
MECH226
MECH300
MECH311
MECH317
MECH323
MECH329
MECH373
MECH411
MECH415
MECH419
MECH421
MECH437
MECH451
MECH457
MECH463
MECH483
IMEN204
IMEN213
IMEN215
IMEN219
IMEN221
IMEN255
IMEN315
IMEN319
IMEN321
IMEN333
IMEN335
IMEN357
IMEN361
IMEN389
IMEN407
IMEN415
IMEN457
IMEN460
IMEN471
AMSE201
AMSE203
AMSE205
AMSE207
AMSE209
AMSE211
AMSE217
AMSE301
AMSE303
AMSE305
AMSE315
AMSE329
AMSE331
AMSE333
AMSE335
AMSE385
AMSE403
AMSE417
AMSE419
AMSE423
AMSE429
AMSE441
AMSE461
KECE203
KECE205
KECE207
KECE209
KECE231
KECE301
KECE303
KECE313
KECE321
KECE323
KECE331
KECE343
KECE361
KECE403
KECE411
KECE415
KECE417
KECE419
KECE421
KECE423
KECE427
KECE437
KECE443
KECE445
KECE449
KECE457
KECE461
KECE463
KECE471
KECE493
KECE495
KECE499
ACEE121
ACEE123
ACEE219
ACEE221
ACEE227
ACEE228
ACEE243
ACEE249
ACEE252
ACEE261
ACEE269
ACEE283
ACEE313
ACEE317
ACEE321
ACEE323
ACEE325
ACEE327
ACEE331
ACEE343
ACEE369
ACEE381
ACEE409
ACEE439
ACEE443
ACEE446
ACEE471
ACEE477
ACEE479
ACEE485
ACEE491
ARCH205
ARCH209
ARCH211
ARCH219
ARCH221
ARCH227
ARCH311
ARCH325
ARCH327
ARCH329
ARCH333
ARCH401
ARCH403
ARCH413
ARCH421
ARCH433
ARCH439
ARCH441
ARCH443
ARCH447
ARCH449
CHBE206
CHBE207
CHBE209
CHBE223
CHBE303
CHBE304
CHBE306
CHBE307
CHBE308
CHBE317
CHBE339
CHBE342
CHBE343
CHBE345
CHBE347
CHBE406
CHBE421
CHBE426
CHBE471
DISS114
DISS122
DISS140
DISS212
DISS215
DISS223
DISS230
DISS244
DISS255
DISS262
DISS300
DISS311
DISS312
DISS325
DISS338
DISS358
DISS421
DISS428
DISS453
DISS473
DISS477
GLKS201
GLKS204
GLKS301
ARDE200
ARDE212
ARDE218
ARDE223
ARDE225
ARDE228
ARDE235
ARDE257
ARDE259
ARDE261
ARDE263
ARDE270
ARDE311
ARDE313
ARDE322
ARDE324
ARDE327
ARDE363
ARDE365
ARDE367
ARDE369
ARDE412
ARDE413
ARDE414
ARDE425
ARDE435
ARDE441
ARDE442
ARDE461
COLA200
EMLA211
EMLA212
EMLA214
EMLA215
EMLA216
GLEA201
LBNC201
STSR201
STSR203
KORE003
KORE201
KORE208
KORE209
KORE210
KORE211
KORE215
KORE217
KORE219
KORE223
KORE227
KORE228
KORE231
KORE236
KORE305
KORE309
KORE311
KORE317
KORE318
KORE319
KORE321
RUSS201
RUSS205
RUSS207
RUSS213
RUSS218
RUSS256
RUSS257
RUSS325
RUSS331
RUSS363
RUSS369
RUSS370
RUSS372
RUSS373
RUSS380
RUSS381
RUSS405
RUSS463
RUSS471
RUSS475
RUSS481
RUSS483
RUSS485
RUSS492
GERM203
GERM205
GERM210
GERM227
GERM237
GERM303
GERM305
GERM339
GERM349
GERM351
GERM357
GERM363
GERM365
GERM367
GERM371
GERM442
GERM445
GERM453
GERM454
GERM461
FRAN209
FRAN211
FRAN213
FRAN215
FRAN231
FRAN233
FRAN333
FRAN335
FRAN337
FRAN343
FRAN345
FRAN347
FRAN349
FRAN351
FRAN359
FRAN427
FRAN433
FRAN435
HOEW201
HOEW202
HOEW204
HOEW305
HOEW307
HOEW311
HOEW313
HOEW315
HOEW364
HOEW365
HOEW367
HOEW401
HOEW409
HOEW411
HOEW417
HOEW421
HOEW431
HOEW450
HOEW454
HOEW457
SOCI225
SOCI233
SOCI240
SOCI242
SOCI246
SOCI251
SOCI255
SOCI273
SOCI291
SOCI292
SOCI293
SOCI294
SOCI295
SOCI315
SOCI343
SOCI347
SOCI358
SOCI362
SOCI363
SOCI365
SOCI375
SOCI379
SOCI446
SOCI465
SOCI466
SOCI468
SOCI471
SOCI481
SOCI490
SOCI494
SPAN201
SPAN211
SPAN213
SPAN216
SPAN301
SPAN313
SPAN315
SPAN321
SPAN323
SPAN326
SPAN329
SPAN337
SPAN338
SPAN352
SPAN356
SPAN361
SPAN371
SPAN372
SPAN375
SPAN386
SPAN401
SPAN413
SPAN416
SPAN424
SPAN455
SPAN497
SPAN498
PSYC201
PSYC202
PSYC204
PSYC206
PSYC221
PSYC231
PSYC241
PSYC251
PSYC271
PSYC277
PSYC315
PSYC321
PSYC331
PSYC333
PSYC369
PSYC417
PSYC423
PSYC439
PSYC478
LING201
LING301
LING313
LING321
LING403
LING421
LING431
LING461
LING472
LING481
LING491
ENGL201
ENGL203
ENGL211
ENGL220
ENGL267
ENGL281
ENGL327
ENGL329
ENGL333
ENGL335
ENGL343
ENGL359
ENGL361
ENGL373
ENGL375
ENGL383
ENGL387
ENGL395
ENGL399
ENGL401
ENGL419
ENGL421
ENGL423
ENGL429
ENGL433
ENGL435
HMCI300
HMCI303
LALW103
LALW111
JAPN213
JAPN215
JAPN218
JAPN227
JAPN235
JAPN243
JAPN244
