,ProfessorName,className
150,서용무 교수님,데이터관리와지적경영
151,Tony C. Garrett 교수님,제품및브랜드관리(영강)
152,이두희 교수님,인터넷마케팅
153,이장혁 교수님,인터넷마케팅(영강)
154,권수영 교수님,글로벌CEO특강
155,강윤찬 교수님,창의설계 신소재공학부
156,서지훈 교수님,창의설계 신소재공학부
157,강승모 교수님,창의설계 건축사회환경공학부
158,손상영 교수님,창의설계(영강) 건축사회환경공학부
159,송광호 교수님,기술과창업
160,정진택 교수님,열역학I
161,윤석구 교수님,열역학I(영강)
162,심준형 교수님,열역학I(영강)
163,홍대희 교수님,고체역학I
164,김윤재 교수님,고체역학I(영강)
165,최우천 교수님,기계제작법및실습
166,심재경 교수님,전산기이용기계제도
167,최병호 교수님,전산기이용기계제도(영강)
168,심재경 교수님,기구학
169,정석 교수님,공업수학I(영강)
170,이호성 교수님,공업수학I(영강)
171,김재인 교수님,동역학(영강)
172,김권희 교수님,창의적기계설계:캡스톤디자인
173,이병양 교수님,창의적기계설계:캡스톤디자인(영강)
174,강용태 교수님,열전달(영강)
175,권오명 교수님,열전달
176,최병호 교수님,공학재료학(영강)
177,한창수 교수님,공학재료학(영강)
178,문영준 교수님,유체역학II
179,김윤재 교수님,기계공학실험I(영강)
180,나성수 교수님,기계공학실험I(영강)
181,최병호 교수님,기계공학실험I(영강)
182,나성수 교수님,기계진동학
183,백창현 교수님,공기조화
184,이호성 교수님,에너지공학(영강)
185,박심수 교수님,내연기관
186,송재복 교수님,메카트로닉스
187,정석 교수님,통합설계(영강)
188,장민호 교수님,통합설계(영강)
189,최원준 교수님,수치해석(영강)
190,정우진 교수님,마이크로프로세서프로그래밍(영강)
191,박신석 교수님,로봇공학(영강)
192,정경철 교수님,일반회계및원가계산
193,심준용 교수님,일반회계및원가계산
194,한성원 교수님,수리통계및실습(영강)
195,김성범 교수님,수리통계및실습
196,정태수 교수님,경영공학개론(영강)
197,정의승 교수님,휴먼인터페이스
198,김기현 교수님,객체지향프로그래밍및실습
199,안민정 교수님,객체지향프로그래밍및실습
200,강정윤 교수님,생산시스템공학및실험
201,박재규 교수님,인간공학
202,박태준 교수님,OR-Ⅱ 및 실습
203,백준걸 교수님,데이터마이닝
204,한지희 교수님,생산계획
205,이홍철 교수님,정보시스템설계
206,최인찬 교수님,최적화이론(영강)
207,장동식 교수님,시스템공학특론-Ⅰ
208,정의승 교수님,공학현장실습Ⅰ
209,이철웅 교수님,물류시스템설계
210,강필성 교수님,다변량분석(영강) 제1실험관 부속건물 204호에서 한달간 수업 진행 후 신공학관 224호로 변경 예정
211,박종선 교수님,시스템분석
212,최인찬 교수님,메타휴리스틱
213,정태수 교수님,캡스톤디자인Ⅰ
214,강윤찬 교수님,물리화학I
215,이인환 교수님,물리화학I(영강)
216,이준호 교수님,물리화학I(영강)
217,이경진 교수님,재료수치해석(영강)
218,서지훈 교수님,재료구조물성(영강)
219,성윤모 교수님,재료구조물성(영강)
220,장호 교수님,재료구조물성
221,이종흔 교수님,생활속의신소재공학
222,이재철 교수님,공업수학I(영강)
223,서지훈 교수님,공업수학I(영강)
224,임대순 교수님,세라믹재료개론
225,이재승 교수님,유기재료화학(영강)
226,오승주 교수님,X-선결정학(영강)
227,이헌 교수님,전자및반도체재료공학
228,이인환 교수님,전자및반도체재료공학(영강)
229,김영근 교수님,재료공학실험I
230,이경진 교수님,재료공학실험I
231,이재승 교수님,재료공학실험I
232,이명규 교수님,재료공학실험I
233,오승주 교수님,재료공학실험I
234,허주열 교수님,재료열역학
235,임상호 교수님,재료열역학(영강)
236,성윤모 교수님,나노소재(영강)
237,이명규 교수님,금속가공학(영강)
238,장호 교수님,금속재료
239,성태연 교수님,광소재및소자(영강)
240,윤우영 교수님,신소재종합설계Ⅰ
241,윤호규 교수님,고분자전자재료
242,서광석 교수님,유기재료공정
243,김영근 교수님,융합기술및신소재응용
244,장호 교수님,재료공학실험III
245,성윤모 교수님,재료공학실험III
246,성태연 교수님,재료공학실험III
247,이해근 교수님,전자기학
248,최주 교수님,산학협동강좌I
249,윤호규 교수님,졸업종합설계Ⅰ
250,이헌 교수님,졸업종합설계Ⅰ
251,이준호 교수님,졸업종합설계Ⅰ
252,서지훈 교수님,졸업종합설계Ⅰ
253,윤우영 교수님,졸업종합설계Ⅰ
254,권세혁 교수님,전기회로Ⅰ
255,전완종 교수님,전기회로Ⅰ
256,박귀태 교수님,전기회로Ⅰ
257,김석기 교수님,전기회로Ⅰ(영강)
258,강충구 교수님,전기회로실험
259,고성제 교수님,전기회로실험
260,설상훈 교수님,전기회로실험
261,정창성 교수님,전기회로실험
262,이병준 교수님,전기회로실험
263,장길수 교수님,전기회로실험
264,황인준 교수님,전기회로실험
265,주병권 교수님,전기회로실험
266,최린 교수님,전기회로실험
267,전상근 교수님,전기회로실험(영강)
268,김종국 교수님,디지털시스템(영강)
269,김선욱 교수님,디지털시스템
270,김동승 교수님,디지털시스템
271,석준희 교수님,확률및랜덤프로세스(영강)
272,김운경 교수님,확률및랜덤프로세스
273,백상헌 교수님,확률및랜덤프로세스
274,김종옥 교수님,확률및랜덤프로세스
275,안춘기 교수님,공학수학Ⅰ(영강)
276,Beelee Chua 교수님,공학수학Ⅰ(영강)
277,김미정 교수님,공학수학Ⅰ
278,도락주 교수님,공학수학Ⅰ
279,이재성 교수님,전자회로I(영강)
280,박종선 교수님,전자회로I(영강)
281,김용신 교수님,전자회로I(영강)
282,이형민 교수님,전자회로I(영강)
283,고한석 교수님,전자회로설계및실험I
284,김규태 교수님,전자회로설계및실험I
285,박정호 교수님,전자회로설계및실험I
286,박종선 교수님,전자회로설계및실험I
287,유지윤 교수님,전자회로설계및실험I
288,유현용 교수님,전자회로설계및실험I
289,이인규 교수님,전자회로설계및실험I
290,이재성 교수님,전자회로설계및실험I
291,김용신 교수님,전자회로설계및실험I(영강)
292,윤태웅 교수님,신호와시스템
293,고한석 교수님,신호와시스템(영강)
294,설상훈 교수님,신호와시스템
295,엄두섭 교수님,통신시스템Ⅰ
296,이상현 교수님,통신시스템Ⅰ(영강)
297,김운경 교수님,통신시스템Ⅰ
298,김문일 교수님,전자장
299,전상근 교수님,전자장(영강)
300,박정호 교수님,반도체공학Ⅰ
301,유현용 교수님,반도체공학Ⅰ(영강)
302,최린 교수님,컴퓨터구조
303,이병준 교수님,전력공학Ⅰ
304,장길수 교수님,전력공학Ⅰ
305,주성관 교수님,전력공학Ⅰ
306,박정호 교수님,종합설계Ⅰ
307,김선욱 교수님,종합설계Ⅰ
308,엄두섭 교수님,종합설계Ⅰ
309,주병권 교수님,전기전자재료공학
310,김규태 교수님,전기전자재료공학
311,이철진 교수님,나노전자공학
312,정창성 교수님,병렬컴퓨팅
313,이상빈 교수님,전기기기Ⅱ(영강)
314,허준 교수님,정보및부호화이론
315,백상헌 교수님,통신네트워크설계
316,이인규 교수님,통신신호처리
317,전상근 교수님,RF공학
318,석준희 교수님,객체지향프로그래밍언어및실습(영강) Flipped Class 시행 강의임
319,황인준 교수님,데이터베이스
320,김황남 교수님,컴퓨터네트워크
